capri	top	acceptable_sr	medium_sr	high_sr
2	1	9.30232558139535	6.976744186046512	4.651162790697675
2	5	20.930232558139537	11.627906976744185	6.976744186046512
2	10	25.581395348837212	13.953488372093023	6.976744186046512
2	20	27.906976744186046	16.27906976744186	9.30232558139535
2	50	32.55813953488372	16.27906976744186	9.30232558139535
2	100	37.2093023255814	18.6046511627907	9.30232558139535
2	200	48.837209302325576	27.906976744186046	13.953488372093023
7	1	4.651162790697675	2.3255813953488373	2.3255813953488373
7	5	16.27906976744186	11.627906976744185	4.651162790697675
7	10	18.6046511627907	11.627906976744185	9.30232558139535
7	20	23.25581395348837	13.953488372093023	9.30232558139535
7	50	25.581395348837212	18.6046511627907	9.30232558139535
7	100	32.55813953488372	20.930232558139537	9.30232558139535
7	200	39.53488372093023	25.581395348837212	11.627906976744185
9	1	4.651162790697675	4.651162790697675	2.3255813953488373
9	5	11.627906976744185	6.976744186046512	4.651162790697675
9	10	11.627906976744185	6.976744186046512	4.651162790697675
9	20	20.930232558139537	13.953488372093023	6.976744186046512
9	50	25.581395348837212	20.930232558139537	6.976744186046512
9	100	30.23255813953488	20.930232558139537	6.976744186046512
9	200	34.883720930232556	25.581395348837212	9.30232558139535
