scenario	scoring	top	CAPRI_class	sr
true	haddock	1	acceptable	55.81395348837209
true	haddock	1	medium	27.906976744186046
true	haddock	1	high	2.3255813953488373
true	voro	1	acceptable	65.11627906976744
true	voro	1	medium	30.23255813953488
true	voro	1	high	2.3255813953488373
true	haddock	5	acceptable	76.74418604651163
true	haddock	5	medium	46.51162790697674
true	haddock	5	high	4.651162790697675
true	voro	5	acceptable	72.09302325581395
true	voro	5	medium	37.2093023255814
true	voro	5	high	4.651162790697675
true	haddock	10	acceptable	81.3953488372093
true	haddock	10	medium	46.51162790697674
true	haddock	10	high	6.976744186046512
true	voro	10	acceptable	76.74418604651163
true	voro	10	medium	37.2093023255814
true	voro	10	high	4.651162790697675
true	haddock	20	acceptable	93.02325581395348
true	haddock	20	medium	53.48837209302325
true	haddock	20	high	6.976744186046512
true	voro	20	acceptable	76.74418604651163
true	voro	20	medium	44.18604651162791
true	voro	20	high	4.651162790697675
true	haddock	50	acceptable	93.02325581395348
true	haddock	50	medium	67.44186046511628
true	haddock	50	high	11.627906976744185
true	voro	50	acceptable	88.37209302325581
true	voro	50	medium	58.139534883720934
true	voro	50	high	11.627906976744185
true	haddock	100	acceptable	93.02325581395348
true	haddock	100	medium	69.76744186046511
true	haddock	100	high	13.953488372093023
true	voro	100	acceptable	93.02325581395348
true	voro	100	medium	67.44186046511628
true	voro	100	high	13.953488372093023
true	haddock	200	acceptable	93.02325581395348
true	haddock	200	medium	74.4186046511628
true	haddock	200	high	16.27906976744186
true	voro	200	acceptable	93.02325581395348
true	voro	200	medium	69.76744186046511
true	voro	200	high	16.27906976744186
loose	haddock	1	acceptable	18.6046511627907
loose	haddock	1	medium	4.651162790697675
loose	haddock	1	high	0.0
loose	voro	1	acceptable	23.25581395348837
loose	voro	1	medium	9.30232558139535
loose	voro	1	high	0.0
loose	haddock	5	acceptable	30.23255813953488
loose	haddock	5	medium	13.953488372093023
loose	haddock	5	high	0.0
loose	voro	5	acceptable	30.23255813953488
loose	voro	5	medium	11.627906976744185
loose	voro	5	high	0.0
loose	haddock	10	acceptable	32.55813953488372
loose	haddock	10	medium	16.27906976744186
loose	haddock	10	high	0.0
loose	voro	10	acceptable	37.2093023255814
loose	voro	10	medium	13.953488372093023
loose	voro	10	high	0.0
loose	haddock	20	acceptable	37.2093023255814
loose	haddock	20	medium	20.930232558139537
loose	haddock	20	high	0.0
loose	voro	20	acceptable	41.86046511627907
loose	voro	20	medium	18.6046511627907
loose	voro	20	high	0.0
loose	haddock	50	acceptable	51.162790697674424
loose	haddock	50	medium	20.930232558139537
loose	haddock	50	high	0.0
loose	voro	50	acceptable	44.18604651162791
loose	voro	50	medium	18.6046511627907
loose	voro	50	high	0.0
loose	haddock	100	acceptable	62.7906976744186
loose	haddock	100	medium	25.581395348837212
loose	haddock	100	high	0.0
loose	voro	100	acceptable	48.837209302325576
loose	voro	100	medium	20.930232558139537
loose	voro	100	high	0.0
loose	haddock	200	acceptable	74.4186046511628
loose	haddock	200	medium	25.581395348837212
loose	haddock	200	high	0.0
loose	voro	200	acceptable	58.139534883720934
loose	voro	200	medium	20.930232558139537
loose	voro	200	high	0.0
two-hit	haddock	1	acceptable	18.6046511627907
two-hit	haddock	1	medium	6.976744186046512
two-hit	haddock	1	high	0.0
two-hit	voro	1	acceptable	18.6046511627907
two-hit	voro	1	medium	11.627906976744185
two-hit	voro	1	high	0.0
two-hit	haddock	5	acceptable	32.55813953488372
two-hit	haddock	5	medium	13.953488372093023
two-hit	haddock	5	high	0.0
two-hit	voro	5	acceptable	23.25581395348837
two-hit	voro	5	medium	13.953488372093023
two-hit	voro	5	high	0.0
two-hit	haddock	10	acceptable	41.86046511627907
two-hit	haddock	10	medium	13.953488372093023
two-hit	haddock	10	high	0.0
two-hit	voro	10	acceptable	23.25581395348837
two-hit	voro	10	medium	16.27906976744186
two-hit	voro	10	high	0.0
two-hit	haddock	20	acceptable	46.51162790697674
two-hit	haddock	20	medium	18.6046511627907
two-hit	haddock	20	high	0.0
two-hit	voro	20	acceptable	25.581395348837212
two-hit	voro	20	medium	16.27906976744186
two-hit	voro	20	high	0.0
two-hit	haddock	50	acceptable	55.81395348837209
two-hit	haddock	50	medium	25.581395348837212
two-hit	haddock	50	high	0.0
two-hit	voro	50	acceptable	39.53488372093023
two-hit	voro	50	medium	20.930232558139537
two-hit	voro	50	high	0.0
two-hit	haddock	100	acceptable	62.7906976744186
two-hit	haddock	100	medium	30.23255813953488
two-hit	haddock	100	high	0.0
two-hit	voro	100	acceptable	44.18604651162791
two-hit	voro	100	medium	20.930232558139537
two-hit	voro	100	high	0.0
two-hit	haddock	200	acceptable	62.7906976744186
two-hit	haddock	200	medium	32.55813953488372
two-hit	haddock	200	high	0.0
two-hit	voro	200	acceptable	44.18604651162791
two-hit	voro	200	medium	25.581395348837212
two-hit	voro	200	high	0.0
